index,game_id,condition,round_index,correct_answer,plot_sequence,player_id,cumulative_score,difficulty,revised_guess,revised_error,increment,increment_color,in_degree,study,round_after_shock,quarter,task_instance_avg_error,revised_error_relative2solo,independent_error_relative2solo,independent_guess,independent_error,half,best_player,ind_score,cumulative_ind_score,final_score,final_ind_score,improvement,group,best_player_initial,best_player_revised,current_rev_score,current_ind_score,half_cumulative
0,103,dynamic,1,0.09,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,0.96,easy,0.05,0.04,0.96,green,3,1,1,1,0.232077922,-0.192077922,-0.192077922,0.05,0.04,1,False,0.96,0.96,16.21,15.44,0.0,1,False,False,0.0,0.0,0.96
2172,103,dynamic,2,0.78,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,1.81,easy,0.63,0.15,0.85,red,6,1,2,1,0.193461538,-0.043461538,-0.173461538,0.76,0.02,1,False,0.98,1.94,16.21,15.44,0.13,1,False,False,0.9600000000000001,1.0899999999999999,1.81
4178,103,dynamic,3,0.91,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,2.73,easy,0.83,0.08,0.92,orange,5,1,3,1,0.143076923,-0.063076923,-0.063076923,0.83,0.08,1,False,0.92,2.86,16.21,15.44,0.0,1,False,False,1.81,1.94,2.73
4328,103,dynamic,4,0.47,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,3.34,easy,0.08,0.39,0.61,red,3,1,4,1,0.162435897,0.227564103,0.227564103,0.08,0.39,1,False,0.61,3.47,16.21,15.44,0.0,1,False,False,2.73,2.8600000000000003,3.34
6154,103,dynamic,5,0.08,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,4.3,easy,0.04,0.04,0.96,red,1,1,5,1,0.193333333,-0.153333333,-0.153333333,0.04,0.04,1,False,0.96,4.43,16.21,15.44,0.0,1,False,False,3.34,3.4699999999999998,4.3
7165,103,dynamic,6,0.27,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,5.12,easy,0.09,0.18,0.82,red,1,1,6,2,0.159487179,0.020512821,0.020512821,0.09,0.18,1,False,0.82,5.25,16.21,15.44,0.0,1,False,False,4.3,4.43,5.12
8831,103,dynamic,7,0.58,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,6.02,easy,0.68,0.1,0.9,orange,1,1,7,2,0.146153846,-0.046153846,-0.046153846,0.68,0.1,1,False,0.9,6.15,16.21,15.44,0.0,1,False,False,5.119999999999999,5.25,6.02
10931,103,dynamic,8,0.78,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,6.98,easy,0.82,0.04,0.96,orange,1,1,8,2,0.122564103,-0.082564103,-0.082564103,0.82,0.04,1,False,0.96,7.11,16.21,15.44,0.0,1,False,False,6.0200000000000005,6.15,6.98
11415,103,dynamic,9,0.03,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,7.98,easy,0.03,0.0,1.0,green,1,1,9,2,0.162692308,-0.162692308,-0.162692308,0.03,0.0,1,False,1.0,8.11,16.21,15.44,0.0,1,False,False,6.98,7.109999999999999,7.98
14048,103,dynamic,10,0.08,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,8.97,easy,0.07,0.01,0.99,green,1,1,10,2,0.137051282,-0.127051282,-0.127051282,0.07,0.01,1,False,0.99,9.1,16.21,15.44,0.0,1,False,False,7.98,8.11,8.97
15643,103,dynamic,11,0.07,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,9.95,hard,0.05,0.02,0.98,green,2,1,1,3,0.486538462,-0.466538462,-0.466538462,0.05,0.02,2,False,0.98,10.08,16.21,15.44,0.0,1,False,False,8.969999999999999,9.1,9.95
16954,103,dynamic,12,0.78,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,10.7,hard,0.53,0.25,0.75,red,5,1,2,3,0.482948718,-0.232948718,-0.232948718,0.53,0.25,2,False,0.75,10.83,16.21,15.44,0.0,1,False,False,9.95,10.08,10.7
18375,103,dynamic,13,0.47,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,11.21,hard,0.96,0.49,0.51,red,6,1,3,3,0.283589744,0.206410256,0.206410256,0.96,0.49,2,False,0.51,11.34,16.21,15.44,0.0,1,False,False,10.700000000000001,10.83,11.21
18683,103,dynamic,14,0.93,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,11.76,hard,0.48,0.45,0.55,red,4,1,4,3,0.372307692,0.077692308,0.397692308,0.16,0.77,2,False,0.23,11.57,16.21,15.44,-0.32,1,False,False,11.209999999999999,11.02,11.76
20861,103,dynamic,15,0.09,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,12.36,hard,0.49,0.4,0.6,red,2,1,5,3,0.478461538,-0.078461538,-0.078461538,0.49,0.4,2,False,0.6,12.17,16.21,15.44,0.0,1,False,False,11.76,11.57,12.36
22025,103,dynamic,16,0.29,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,13.09,hard,0.56,0.27,0.73,red,1,1,6,4,0.257948718,0.012051282,0.012051282,0.56,0.27,2,False,0.73,12.9,16.21,15.44,0.0,1,False,False,12.36,12.17,13.09
23164,103,dynamic,17,0.67,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,13.75,hard,0.33,0.34,0.66,red,0,1,7,4,0.300128205,0.039871795,0.039871795,0.33,0.34,2,False,0.66,13.56,16.21,15.44,0.0,1,False,False,13.09,12.9,13.75
24836,103,dynamic,18,0.78,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,14.48,hard,0.51,0.27,0.73,red,0,1,8,4,0.315641026,-0.045641026,-0.045641026,0.51,0.27,2,False,0.73,14.29,16.21,15.44,0.0,1,False,False,13.75,13.559999999999999,14.48
26663,103,dynamic,19,0.03,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,15.26,hard,0.25,0.22,0.78,red,0,1,9,4,0.36525641,-0.14525641,0.07474359,0.47,0.44,2,False,0.56,14.85,16.21,15.44,-0.22,1,False,False,14.48,14.07,15.26
27683,103,dynamic,20,0.08,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,16.21,hard,0.13,0.05,0.95,red,0,1,10,4,0.274487179,-0.224487179,0.135512821,0.49,0.41,2,False,0.59,15.44,16.21,15.44,-0.36,1,False,False,15.260000000000002,14.49,16.21
